GZD,100kmSQ_ID,MGRS,EASTING,NORTHING
37T,BN,37TBN,200000,5200000
37T,CN,37TCN,300000,5200000
37T,DN,37TDN,400000,5200000
37T,EN,37TEN,500000,5200000
37T,FN,37TFN,600000,5200000
37T,GN,37TGN,700000,5200000
37T,BM,37TBM,200000,5100000
37T,CM,37TCM,300000,5100000
37T,DM,37TDM,400000,5100000
37T,EM,37TEM,500000,5100000
37T,FM,37TFM,600000,5100000
37T,GM,37TGM,700000,5100000
37T,BL,37TBL,200000,5000000
37T,CL,37TCL,300000,5000000
37T,DL,37TDL,400000,5000000
37T,EL,37TEL,500000,5000000
37T,FL,37TFL,600000,5000000
37T,GL,37TGL,700000,5000000
37T,BK,37TBK,200000,4900000
37T,CK,37TCK,300000,4900000
37T,DK,37TDK,400000,4900000
37T,EK,37TEK,500000,4900000
37T,FK,37TFK,600000,4900000
37T,GK,37TGK,700000,4900000
37T,BJ,37TBJ,200000,4800000
37T,CJ,37TCJ,300000,4800000
37T,DJ,37TDJ,400000,4800000
37T,EJ,37TEJ,500000,4800000
37T,FJ,37TFJ,600000,4800000
37T,GJ,37TGJ,700000,4800000
37T,BH,37TBH,200000,4700000
37T,CH,37TCH,300000,4700000
37T,DH,37TDH,400000,4700000
37T,EH,37TEH,500000,4700000
37T,FH,37TFH,600000,4700000
37T,GH,37TGH,700000,4700000
37T,BG,37TBG,200000,4600000
37T,CG,37TCG,300000,4600000
37T,DG,37TDG,400000,4600000
37T,EG,37TEG,500000,4600000
37T,FG,37TFG,600000,4600000
37T,GG,37TGG,700000,4600000
37T,BF,37TBF,200000,4500000
37T,CF,37TCF,300000,4500000
37T,DF,37TDF,400000,4500000
37T,EF,37TEF,500000,4500000
37T,FF,37TFF,600000,4500000
37T,GF,37TGF,700000,4500000
37T,BE,37TBE,200000,4400000
37T,CE,37TCE,300000,4400000
37T,DE,37TDE,400000,4400000
37T,EE,37TEE,500000,4400000
37T,FE,37TFE,600000,4400000
37T,GE,37TGE,700000,4400000
37U,CC,37UCC,300000,6200000
37U,DC,37UDC,400000,6200000
37U,EC,37UEC,500000,6200000
37U,FC,37UFC,600000,6200000
37U,CB,37UCB,300000,6100000
37U,DB,37UDB,400000,6100000
37U,EB,37UEB,500000,6100000
37U,FB,37UFB,600000,6100000
37U,CA,37UCA,300000,6000000
37U,DA,37UDA,400000,6000000
37U,EA,37UEA,500000,6000000
37U,FA,37UFA,600000,6000000
37U,BV,37UBV,200000,5900000
37U,CV,37UCV,300000,5900000
37U,DV,37UDV,400000,5900000
37U,EV,37UEV,500000,5900000
37U,FV,37UFV,600000,5900000
37U,GV,37UGV,700000,5900000
37U,BU,37UBU,200000,5800000
37U,CU,37UCU,300000,5800000
37U,DU,37UDU,400000,5800000
37U,EU,37UEU,500000,5800000
37U,FU,37UFU,600000,5800000
37U,GU,37UGU,700000,5800000
37U,BT,37UBT,200000,5700000
37U,CT,37UCT,300000,5700000
37U,DT,37UDT,400000,5700000
37U,ET,37UET,500000,5700000
37U,FT,37UFT,600000,5700000
37U,GT,37UGT,700000,5700000
37U,BS,37UBS,200000,5600000
37U,CS,37UCS,300000,5600000
37U,DS,37UDS,400000,5600000
37U,ES,37UES,500000,5600000
37U,FS,37UFS,600000,5600000
37U,GS,37UGS,700000,5600000
37U,BR,37UBR,200000,5500000
37U,CR,37UCR,300000,5500000
37U,DR,37UDR,400000,5500000
37U,ER,37UER,500000,5500000
37U,FR,37UFR,600000,5500000
37U,GR,37UGR,700000,5500000
37U,BQ,37UBQ,200000,5400000
37U,CQ,37UCQ,300000,5400000
37U,DQ,37UDQ,400000,5400000
37U,EQ,37UEQ,500000,5400000
37U,FQ,37UFQ,600000,5400000
37U,GQ,37UGQ,700000,5400000
37T,BP,37TBP,200000,5300000
37T,CP,37TCP,300000,5300000
37T,DP,37TDP,400000,5300000
37T,EP,37TEP,500000,5300000
37T,FP,37TFP,600000,5300000
37T,GP,37TGP,700000,5300000
