EASTING,NORTHING,100kmSQ_ID,GZD,MGRS
400000,4800000,MJ,29T,29TMJ
500000,4800000,NJ,29T,29TNJ
600000,4800000,PJ,29T,29TPJ
700000,4800000,QJ,29T,29TQJ
200000,4700000,KH,29T,29TKH
300000,4700000,LH,29T,29TLH
400000,4700000,MH,29T,29TMH
500000,4700000,NH,29T,29TNH
600000,4700000,PH,29T,29TPH
700000,4700000,QH,29T,29TQH
200000,4600000,KG,29T,29TKG
300000,4600000,LG,29T,29TLG
400000,4600000,MG,29T,29TMG
500000,4600000,NG,29T,29TNG
600000,4600000,PG,29T,29TPG
700000,4600000,QG,29T,29TQG
200000,4500000,KF,29T,29TKF
300000,4500000,LF,29T,29TLF
400000,4500000,MF,29T,29TMF
500000,4500000,NF,29T,29TNF
600000,4500000,PF,29T,29TPF
700000,4500000,QF,29T,29TQF
300000,6100000,LB,29U,29ULB
400000,6100000,MB,29U,29UMB
500000,6100000,NB,29U,29UNB
600000,6100000,PB,29U,29UPB
300000,6000000,LA,29U,29ULA
400000,6000000,MA,29U,29UMA
500000,6000000,NA,29U,29UNA
600000,6000000,PA,29U,29UPA
200000,5900000,KV,29U,29UKV
300000,5900000,LV,29U,29ULV
400000,5900000,MV,29U,29UMV
500000,5900000,NV,29U,29UNV
600000,5900000,PV,29U,29UPV
700000,5900000,QV,29U,29UQV
200000,5800000,KU,29U,29UKU
300000,5800000,LU,29U,29ULU
400000,5800000,MU,29U,29UMU
500000,5800000,NU,29U,29UNU
600000,5800000,PU,29U,29UPU
700000,5800000,QU,29U,29UQU
200000,5700000,KT,29U,29UKT
300000,5700000,LT,29U,29ULT
400000,5700000,MT,29U,29UMT
500000,5700000,NT,29U,29UNT
600000,5700000,PT,29U,29UPT
700000,5700000,QT,29U,29UQT
200000,5600000,KS,29U,29UKS
300000,5600000,LS,29U,29ULS
400000,5600000,MS,29U,29UMS
500000,5600000,NS,29U,29UNS
600000,5600000,PS,29U,29UPS
700000,5600000,QS,29U,29UQS
200000,5500000,KR,29U,29UKR
300000,5500000,LR,29U,29ULR
400000,5500000,MR,29U,29UMR
500000,5500000,NR,29U,29UNR
600000,5500000,PR,29U,29UPR
700000,5500000,QR,29U,29UQR
200000,5400000,KQ,29U,29UKQ
300000,5400000,LQ,29U,29ULQ
400000,5400000,MQ,29U,29UMQ
500000,5400000,NQ,29U,29UNQ
600000,5400000,PQ,29U,29UPQ
700000,5400000,QQ,29U,29UQQ
300000,7100000,LM,29V,29VLM
600000,7100000,PM,29V,29VPM
300000,7000000,LL,29V,29VLL
400000,7000000,ML,29V,29VML
500000,7000000,NL,29V,29VNL
600000,7000000,PL,29V,29VPL
300000,6900000,LK,29V,29VLK
400000,6900000,MK,29V,29VMK
500000,6900000,NK,29V,29VNK
600000,6900000,PK,29V,29VPK
300000,6800000,LJ,29V,29VLJ
400000,6800000,MJ,29V,29VMJ
500000,6800000,NJ,29V,29VNJ
600000,6800000,PJ,29V,29VPJ
300000,6700000,LH,29V,29VLH
400000,6700000,MH,29V,29VMH
500000,6700000,NH,29V,29VNH
600000,6700000,PH,29V,29VPH
300000,6600000,LG,29V,29VLG
400000,6600000,MG,29V,29VMG
500000,6600000,NG,29V,29VNG
600000,6600000,PG,29V,29VPG
300000,6500000,LF,29V,29VLF
400000,6500000,MF,29V,29VMF
500000,6500000,NF,29V,29VNF
600000,6500000,PF,29V,29VPF
300000,6400000,LE,29V,29VLE
400000,6400000,ME,29V,29VME
500000,6400000,NE,29V,29VNE
600000,6400000,PE,29V,29VPE
300000,6300000,LD,29V,29VLD
400000,6300000,MD,29V,29VMD
500000,6300000,ND,29V,29VND
600000,6300000,PD,29V,29VPD
600000,6200000,PC,29U,29UPC
500000,6200000,NC,29U,29UNC
400000,6200000,MC,29U,29UMC
300000,6200000,LC,29U,29ULC
400000,5300000,MP,29U,29UMP
300000,5300000,LP,29T,29TLP
200000,5300000,KP,29T,29TKP
500000,5300000,NP,29U,29UNP
600000,5300000,PP,29U,29UPP
700000,5300000,QP,29U,29UQP
200000,4400000,KE,29S,29SKE
300000,4400000,LE,29S,29SLE
400000,4400000,ME,29S,29SME
500000,4400000,NE,29S,29SNE
600000,4400000,PE,29S,29SPE
700000,4400000,QE,29T,29TQE
