EASTING,NORTHING,100kmSQ_ID,GZD,MGRS
200000,4300000,KD,29S,29SKD
300000,4300000,LD,29S,29SLD
400000,4300000,MD,29S,29SMD
500000,4300000,ND,29S,29SND
600000,4300000,PD,29S,29SPD
700000,4300000,QD,29S,29SQD
200000,4200000,KC,29S,29SKC
300000,4200000,LC,29S,29SLC
400000,4200000,MC,29S,29SMC
500000,4200000,NC,29S,29SNC
600000,4200000,PC,29S,29SPC
700000,4200000,QC,29S,29SQC
200000,4100000,KB,29S,29SKB
300000,4100000,LB,29S,29SLB
400000,4100000,MB,29S,29SMB
500000,4100000,NB,29S,29SNB
600000,4100000,PB,29S,29SPB
700000,4100000,QB,29S,29SQB
200000,4000000,KA,29S,29SKA
300000,4000000,LA,29S,29SLA
400000,4000000,MA,29S,29SMA
500000,4000000,NA,29S,29SNA
600000,4000000,PA,29S,29SPA
700000,4000000,QA,29S,29SQA
200000,3900000,KV,29S,29SKV
300000,3900000,LV,29S,29SLV
400000,3900000,MV,29S,29SMV
500000,3900000,NV,29S,29SNV
600000,3900000,PV,29S,29SPV
700000,3900000,QV,29S,29SQV
200000,3800000,KU,29S,29SKU
300000,3800000,LU,29S,29SLU
400000,3800000,MU,29S,29SMU
500000,3800000,NU,29S,29SNU
600000,3800000,PU,29S,29SPU
700000,3800000,QU,29S,29SQU
200000,3700000,KT,29S,29SKT
300000,3700000,LT,29S,29SLT
400000,3700000,MT,29S,29SMT
500000,3700000,NT,29S,29SNT
600000,3700000,PT,29S,29SPT
700000,3700000,QT,29S,29SQT
200000,3600000,KS,29S,29SKS
300000,3600000,LS,29S,29SLS
400000,3600000,MS,29S,29SMS
500000,3600000,NS,29S,29SNS
600000,3600000,PS,29S,29SPS
700000,3600000,QS,29S,29SQS
200000,3500000,KR,29S,29SKR
300000,3500000,LR,29S,29SLR
400000,3500000,MR,29S,29SMR
500000,3500000,NR,29S,29SNR
600000,3500000,PR,29S,29SPR
700000,3500000,QR,29S,29SQR
200000,5200000,KN,29T,29TKN
300000,5200000,LN,29T,29TLN
400000,5200000,MN,29T,29TMN
500000,5200000,NN,29T,29TNN
600000,5200000,PN,29T,29TPN
700000,5200000,QN,29T,29TQN
200000,5100000,KM,29T,29TKM
300000,5100000,LM,29T,29TLM
400000,5100000,MM,29T,29TMM
500000,5100000,NM,29T,29TNM
600000,5100000,PM,29T,29TPM
700000,5100000,QM,29T,29TQM
200000,5000000,KL,29T,29TKL
300000,5000000,LL,29T,29TLL
400000,5000000,ML,29T,29TML
500000,5000000,NL,29T,29TNL
600000,5000000,PL,29T,29TPL
700000,5000000,QL,29T,29TQL
200000,4900000,KK,29T,29TKK
300000,4900000,LK,29T,29TLK
400000,4900000,MK,29T,29TMK
500000,4900000,NK,29T,29TNK
600000,4900000,PK,29T,29TPK
700000,4900000,QK,29T,29TQK
200000,4800000,KJ,29T,29TKJ
300000,4800000,LJ,29T,29TLJ
