EASTING,NORTHING,100kmSQ_ID,GZD,MGRS
500000,4400000,EE,31S,31SEE
400000,4400000,DE,31S,31SDE
300000,4400000,CE,31S,31SCE
200000,4400000,BE,31S,31SBE
600000,5300000,FP,31U,31UFP
700000,5300000,GP,31U,31UGP
500000,5300000,EP,31U,31UEP
400000,5300000,DP,31U,31UDP
300000,5300000,CP,31T,31TCP
200000,5300000,BP,31T,31TBP
