100kmSQ_ID,GZD,MGRS,EASTING,NORTHING
WV,33X,33XWV,500000,7900000
WV,33W,33WWV,500000,7900000
XV,33W,33WXV,600000,7900000
UU,33W,33WUU,300000,7800000
VU,33W,33WVU,400000,7800000
WU,33W,33WWU,500000,7800000
XU,33W,33WXU,600000,7800000
UT,33W,33WUT,300000,7700000
VT,33W,33WVT,400000,7700000
WT,33W,33WWT,500000,7700000
XT,33W,33WXT,600000,7700000
US,33W,33WUS,300000,7600000
VS,33W,33WVS,400000,7600000
WS,33W,33WWS,500000,7600000
XS,33W,33WXS,600000,7600000
UR,33W,33WUR,300000,7500000
VR,33W,33WVR,400000,7500000
WR,33W,33WWR,500000,7500000
XR,33W,33WXR,600000,7500000
UQ,33W,33WUQ,300000,7400000
VQ,33W,33WVQ,400000,7400000
WQ,33W,33WWQ,500000,7400000
XQ,33W,33WXQ,600000,7400000
UP,33W,33WUP,300000,7300000
VP,33W,33WVP,400000,7300000
WP,33W,33WWP,500000,7300000
XP,33W,33WXP,600000,7300000
UN,33W,33WUN,300000,7200000
VN,33W,33WVN,400000,7200000
WN,33W,33WWN,500000,7200000
XN,33W,33WXN,600000,7200000
VM,33W,33WVM,400000,7100000
WM,33W,33WWM,500000,7100000
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
TP,33T,33TTP,200000,5300000
UP,33T,33TUP,300000,5300000
,,,,
,,,,
,,,,
,,,,
TE,33T,33TTE,200000,4400000
UE,33T,33TUE,300000,4400000
VE,33T,33TVE,400000,4400000
WE,33T,33TWE,500000,4400000
XE,33T,33TXE,600000,4400000
YE,33T,33TYE,700000,4400000
