100kmSQ_ID,GZD,MGRS,EASTING,NORTHING
TN,33T,33TTN,200000,5200000
UN,33T,33TUN,300000,5200000
VN,33T,33TVN,400000,5200000
WN,33T,33TWN,500000,5200000
XN,33T,33TXN,600000,5200000
YN,33T,33TYN,700000,5200000
TM,33T,33TTM,200000,5100000
UM,33T,33TUM,300000,5100000
VM,33T,33TVM,400000,5100000
WM,33T,33TWM,500000,5100000
XM,33T,33TXM,600000,5100000
YM,33T,33TYM,700000,5100000
TL,33T,33TTL,200000,5000000
UL,33T,33TUL,300000,5000000
VL,33T,33TVL,400000,5000000
WL,33T,33TWL,500000,5000000
XL,33T,33TXL,600000,5000000
YL,33T,33TYL,700000,5000000
TK,33T,33TTK,200000,4900000
UK,33T,33TUK,300000,4900000
VK,33T,33TVK,400000,4900000
WK,33T,33TWK,500000,4900000
XK,33T,33TXK,600000,4900000
YK,33T,33TYK,700000,4900000
TJ,33T,33TTJ,200000,4800000
UJ,33T,33TUJ,300000,4800000
VJ,33T,33TVJ,400000,4800000
WJ,33T,33TWJ,500000,4800000
XJ,33T,33TXJ,600000,4800000
YJ,33T,33TYJ,700000,4800000
TH,33T,33TTH,200000,4700000
UH,33T,33TUH,300000,4700000
VH,33T,33TVH,400000,4700000
WH,33T,33TWH,500000,4700000
XH,33T,33TXH,600000,4700000
YH,33T,33TYH,700000,4700000
TG,33T,33TTG,200000,4600000
UG,33T,33TUG,300000,4600000
VG,33T,33TVG,400000,4600000
WG,33T,33TWG,500000,4600000
XG,33T,33TXG,600000,4600000
YG,33T,33TYG,700000,4600000
TF,33T,33TTF,200000,4500000
UF,33T,33TUF,300000,4500000
VF,33T,33TVF,400000,4500000
WF,33T,33TWF,500000,4500000
XF,33T,33TXF,600000,4500000
YF,33T,33TYF,700000,4500000
TD,33S,33STD,200000,4300000
UD,33S,33SUD,300000,4300000
VD,33S,33SVD,400000,4300000
WD,33S,33SWD,500000,4300000
XD,33S,33SXD,600000,4300000
YD,33S,33SYD,700000,4300000
TC,33S,33STC,200000,4200000
UC,33S,33SUC,300000,4200000
VC,33S,33SVC,400000,4200000
WC,33S,33SWC,500000,4200000
XC,33S,33SXC,600000,4200000
YC,33S,33SYC,700000,4200000
TB,33S,33STB,200000,4100000
UB,33S,33SUB,300000,4100000
VB,33S,33SVB,400000,4100000
WB,33S,33SWB,500000,4100000
XB,33S,33SXB,600000,4100000
YB,33S,33SYB,700000,4100000
TA,33S,33STA,200000,4000000
UA,33S,33SUA,300000,4000000
VA,33S,33SVA,400000,4000000
WA,33S,33SWA,500000,4000000
XA,33S,33SXA,600000,4000000
YA,33S,33SYA,700000,4000000
TV,33S,33STV,200000,3900000
UV,33S,33SUV,300000,3900000
VV,33S,33SVV,400000,3900000
WV,33S,33SWV,500000,3900000
XV,33S,33SXV,600000,3900000
YV,33S,33SYV,700000,3900000
TU,33S,33STU,200000,3800000
UU,33S,33SUU,300000,3800000
VU,33S,33SVU,400000,3800000
WU,33S,33SWU,500000,3800000
XU,33S,33SXU,600000,3800000
YU,33S,33SYU,700000,3800000
TT,33S,33STT,200000,3700000
UT,33S,33SUT,300000,3700000
VT,33S,33SVT,400000,3700000
WT,33S,33SWT,500000,3700000
XT,33S,33SXT,600000,3700000
YT,33S,33SYT,700000,3700000
TS,33S,33STS,200000,3600000
US,33S,33SUS,300000,3600000
VS,33S,33SVS,400000,3600000
WS,33S,33SWS,500000,3600000
XS,33S,33SXS,600000,3600000
YS,33S,33SYS,700000,3600000
TR,33S,33STR,200000,3500000
UR,33S,33SUR,300000,3500000
VR,33S,33SVR,400000,3500000
WR,33S,33SWR,500000,3500000
XR,33S,33SXR,600000,3500000
YR,33S,33SYR,700000,3500000
UB,33U,33UUB,300000,6100000
VB,33U,33UVB,400000,6100000
WB,33U,33UWB,500000,6100000
XB,33U,33UXB,600000,6100000
UA,33U,33UUA,300000,6000000
VA,33U,33UVA,400000,6000000
WA,33U,33UWA,500000,6000000
XA,33U,33UXA,600000,6000000
TV,33U,33UTV,200000,5900000
UV,33U,33UUV,300000,5900000
VV,33U,33UVV,400000,5900000
WV,33U,33UWV,500000,5900000
XV,33U,33UXV,600000,5900000
YV,33U,33UYV,700000,5900000
TU,33U,33UTU,200000,5800000
UU,33U,33UUU,300000,5800000
VU,33U,33UVU,400000,5800000
WU,33U,33UWU,500000,5800000
XU,33U,33UXU,600000,5800000
YU,33U,33UYU,700000,5800000
TT,33U,33UTT,200000,5700000
UT,33U,33UUT,300000,5700000
VT,33U,33UVT,400000,5700000
WT,33U,33UWT,500000,5700000
XT,33U,33UXT,600000,5700000
YT,33U,33UYT,700000,5700000
TS,33U,33UTS,200000,5600000
US,33U,33UUS,300000,5600000
VS,33U,33UVS,400000,5600000
WS,33U,33UWS,500000,5600000
XS,33U,33UXS,600000,5600000
YS,33U,33UYS,700000,5600000
TR,33U,33UTR,200000,5500000
UR,33U,33UUR,300000,5500000
VR,33U,33UVR,400000,5500000
WR,33U,33UWR,500000,5500000
XR,33U,33UXR,600000,5500000
YR,33U,33UYR,700000,5500000
TQ,33U,33UTQ,200000,5400000
UQ,33U,33UUQ,300000,5400000
VQ,33U,33UVQ,400000,5400000
WQ,33U,33UWQ,500000,5400000
XQ,33U,33UXQ,600000,5400000
YQ,33U,33UYQ,700000,5400000
UV,33W,33WUV,300000,7900000
VV,33X,33XVV,400000,7900000
VV,33W,33WVV,400000,7900000
