100kmSQ_ID,GZD,MGRS,EASTING,NORTHING
XB,36W,36WXB,600000,7600000
UA,36W,36WUA,300000,7500000
VA,36W,36WVA,400000,7500000
WA,36W,36WWA,500000,7500000
XA,36W,36WXA,600000,7500000
UV,36W,36WUV,300000,7400000
VV,36W,36WVV,400000,7400000
WV,36W,36WWV,500000,7400000
XV,36W,36WXV,600000,7400000
UU,36W,36WUU,300000,7300000
VU,36W,36WVU,400000,7300000
WU,36W,36WWU,500000,7300000
XU,36W,36WXU,600000,7300000
UT,36W,36WUT,300000,7200000
VT,36W,36WVT,400000,7200000
WT,36W,36WWT,500000,7200000
XT,36W,36WXT,600000,7200000
VS,36W,36WVS,400000,7100000
WS,36W,36WWS,500000,7100000
UR,36W,36WUR,300000,7000000
US,36W,36WUS,300000,7100000
VR,36W,36WVR,400000,7000000
WR,36W,36WWR,500000,7000000
XS,36W,36WXS,600000,7100000
