EASTING,NORTHING,GZD,100kmSQ_ID,MGRS
600000,7800000,32W,PD,32WPD
300000,7700000,32W,LC,32WLC
400000,7700000,32W,MC,32WMC
500000,7700000,32W,NC,32WNC
600000,7700000,32W,PC,32WPC
300000,7600000,32W,LB,32WLB
400000,7600000,32W,MB,32WMB
500000,7600000,32W,NB,32WNB
600000,7600000,32W,PB,32WPB
300000,7500000,32W,LA,32WLA
400000,7500000,32W,MA,32WMA
500000,7500000,32W,NA,32WNA
600000,7500000,32W,PA,32WPA
300000,7400000,32W,LV,32WLV
400000,7400000,32W,MV,32WMV
500000,7400000,32W,NV,32WNV
600000,7400000,32W,PV,32WPV
300000,7300000,32W,LU,32WLU
400000,7300000,32W,MU,32WMU
500000,7300000,32W,NU,32WNU
600000,7300000,32W,PU,32WPU
300000,7200000,32W,LT,32WLT
400000,7200000,32W,MT,32WMT
500000,7200000,32W,NT,32WNT
600000,7200000,32W,PT,32WPT
400000,7100000,32W,MS,32WMS
500000,7100000,32W,NS,32WNS
700000,4400000,32T,QK,32TQK
600000,4400000,32S,PK,32SPK
500000,4400000,32S,NK,32SNK
400000,4400000,32S,MK,32SMK
300000,4400000,32S,LK,32SLK
200000,4400000,32S,KK,32SKK
700000,5300000,32U,QU,32UQU
600000,5300000,32U,PU,32UPU
500000,5300000,32U,NU,32UNU
400000,5300000,32U,MU,32UMU
300000,5300000,32U,LU,32ULU
200000,5300000,32U,KU,32UKU
600000,6200000,32V,PH,32VPH
500000,6200000,32V,NH,32VNH
400000,6200000,32V,MH,32VMH
300000,6200000,32V,LH,32VLH
500000,7000000,32V,NR,32VNR
400000,7000000,32V,MR,32VMR
600000,7000000,32V,PR,32VPR
600000,7100000,32V,PS,32VPS
300000,7100000,32V,LS,32VLS
300000,7000000,32V,LR,32VLR
