EASTING,NORTHING,GZD,100kmSQ_ID,MGRS
200000,4300000,32S,KJ,32SKJ
300000,4300000,32S,LJ,32SLJ
400000,4300000,32S,MJ,32SMJ
500000,4300000,32S,NJ,32SNJ
600000,4300000,32S,PJ,32SPJ
700000,4300000,32S,QJ,32SQJ
200000,4200000,32S,KH,32SKH
300000,4200000,32S,LH,32SLH
400000,4200000,32S,MH,32SMH
500000,4200000,32S,NH,32SNH
600000,4200000,32S,PH,32SPH
700000,4200000,32S,QH,32SQH
200000,4100000,32S,KG,32SKG
300000,4100000,32S,LG,32SLG
400000,4100000,32S,MG,32SMG
500000,4100000,32S,NG,32SNG
600000,4100000,32S,PG,32SPG
700000,4100000,32S,QG,32SQG
200000,4000000,32S,KF,32SKF
300000,4000000,32S,LF,32SLF
400000,4000000,32S,MF,32SMF
500000,4000000,32S,NF,32SNF
600000,4000000,32S,PF,32SPF
700000,4000000,32S,QF,32SQF
200000,3900000,32S,KE,32SKE
300000,3900000,32S,LE,32SLE
400000,3900000,32S,ME,32SME
500000,3900000,32S,NE,32SNE
600000,3900000,32S,PE,32SPE
700000,3900000,32S,QE,32SQE
200000,3800000,32S,KD,32SKD
300000,3800000,32S,LD,32SLD
400000,3800000,32S,MD,32SMD
500000,3800000,32S,ND,32SND
600000,3800000,32S,PD,32SPD
700000,3800000,32S,QD,32SQD
200000,3700000,32S,KC,32SKC
300000,3700000,32S,LC,32SLC
400000,3700000,32S,MC,32SMC
500000,3700000,32S,NC,32SNC
600000,3700000,32S,PC,32SPC
700000,3700000,32S,QC,32SQC
200000,3600000,32S,KB,32SKB
300000,3600000,32S,LB,32SLB
400000,3600000,32S,MB,32SMB
500000,3600000,32S,NB,32SNB
600000,3600000,32S,PB,32SPB
700000,3600000,32S,QB,32SQB
200000,3500000,32S,KA,32SKA
300000,3500000,32S,LA,32SLA
400000,3500000,32S,MA,32SMA
500000,3500000,32S,NA,32SNA
600000,3500000,32S,PA,32SPA
700000,3500000,32S,QA,32SQA
200000,5200000,32T,KT,32TKT
300000,5200000,32T,LT,32TLT
400000,5200000,32T,MT,32TMT
500000,5200000,32T,NT,32TNT
600000,5200000,32T,PT,32TPT
700000,5200000,32T,QT,32TQT
200000,5100000,32T,KS,32TKS
300000,5100000,32T,LS,32TLS
400000,5100000,32T,MS,32TMS
500000,5100000,32T,NS,32TNS
600000,5100000,32T,PS,32TPS
700000,5100000,32T,QS,32TQS
200000,5000000,32T,KR,32TKR
300000,5000000,32T,LR,32TLR
400000,5000000,32T,MR,32TMR
500000,5000000,32T,NR,32TNR
600000,5000000,32T,PR,32TPR
700000,5000000,32T,QR,32TQR
200000,4900000,32T,KQ,32TKQ
300000,4900000,32T,LQ,32TLQ
400000,4900000,32T,MQ,32TMQ
500000,4900000,32T,NQ,32TNQ
600000,4900000,32T,PQ,32TPQ
700000,4900000,32T,QQ,32TQQ
200000,4800000,32T,KP,32TKP
300000,4800000,32T,LP,32TLP
400000,4800000,32T,MP,32TMP
500000,4800000,32T,NP,32TNP
600000,4800000,32T,PP,32TPP
700000,4800000,32T,QP,32TQP
200000,4700000,32T,KN,32TKN
300000,4700000,32T,LN,32TLN
400000,4700000,32T,MN,32TMN
500000,4700000,32T,NN,32TNN
600000,4700000,32T,PN,32TPN
700000,4700000,32T,QN,32TQN
200000,4600000,32T,KM,32TKM
300000,4600000,32T,LM,32TLM
400000,4600000,32T,MM,32TMM
500000,4600000,32T,NM,32TNM
600000,4600000,32T,PM,32TPM
700000,4600000,32T,QM,32TQM
200000,4500000,32T,KL,32TKL
300000,4500000,32T,LL,32TLL
400000,4500000,32T,ML,32TML
500000,4500000,32T,NL,32TNL
600000,4500000,32T,PL,32TPL
700000,4500000,32T,QL,32TQL
300000,6200000,32V,LH,32VLH
400000,6200000,32V,MH,32VMH
500000,6200000,32V,NH,32VNH
600000,6200000,32V,PH,32VPH
300000,6100000,32U,LG,32ULG
400000,6100000,32U,MG,32UMG
500000,6100000,32U,NG,32UNG
600000,6100000,32U,PG,32UPG
300000,6000000,32U,LF,32ULF
400000,6000000,32U,MF,32UMF
500000,6000000,32U,NF,32UNF
600000,6000000,32U,PF,32UPF
200000,5900000,32U,KE,32UKE
300000,5900000,32U,LE,32ULE
400000,5900000,32U,ME,32UME
500000,5900000,32U,NE,32UNE
600000,5900000,32U,PE,32UPE
700000,5900000,32U,QE,32UQE
200000,5800000,32U,KD,32UKD
300000,5800000,32U,LD,32ULD
400000,5800000,32U,MD,32UMD
500000,5800000,32U,ND,32UND
600000,5800000,32U,PD,32UPD
700000,5800000,32U,QD,32UQD
200000,5700000,32U,KC,32UKC
300000,5700000,32U,LC,32ULC
400000,5700000,32U,MC,32UMC
500000,5700000,32U,NC,32UNC
600000,5700000,32U,PC,32UPC
700000,5700000,32U,QC,32UQC
200000,5600000,32U,KB,32UKB
300000,5600000,32U,LB,32ULB
400000,5600000,32U,MB,32UMB
500000,5600000,32U,NB,32UNB
600000,5600000,32U,PB,32UPB
700000,5600000,32U,QB,32UQB
200000,5500000,32U,KA,32UKA
300000,5500000,32U,LA,32ULA
400000,5500000,32U,MA,32UMA
500000,5500000,32U,NA,32UNA
600000,5500000,32U,PA,32UPA
700000,5500000,32U,QA,32UQA
200000,5400000,32U,KV,32UKV
300000,5400000,32U,LV,32ULV
400000,5400000,32U,MV,32UMV
500000,5400000,32U,NV,32UNV
600000,5400000,32U,PV,32UPV
700000,5400000,32U,QV,32UQV
200000,7100000,32V,KS,32VKS
100000,7000000,32V,JR,32VJR
200000,7000000,32V,KR,32VKR
100000,6900000,32V,JQ,32VJQ
200000,6900000,32V,KQ,32VKQ
300000,6900000,32V,LQ,32VLQ
400000,6900000,32V,MQ,32VMQ
500000,6900000,32V,NQ,32VNQ
600000,6900000,32V,PQ,32VPQ
100000,6800000,32V,JP,32VJP
200000,6800000,32V,KP,32VKP
300000,6800000,32V,LP,32VLP
400000,6800000,32V,MP,32VMP
500000,6800000,32V,NP,32VNP
600000,6800000,32V,PP,32VPP
100000,6700000,32V,JN,32VJN
200000,6700000,32V,KN,32VKN
300000,6700000,32V,LN,32VLN
400000,6700000,32V,MN,32VMN
500000,6700000,32V,NN,32VNN
600000,6700000,32V,PN,32VPN
100000,6600000,32V,JM,32VJM
200000,6600000,32V,KM,32VKM
300000,6600000,32V,LM,32VLM
400000,6600000,32V,MM,32VMM
500000,6600000,32V,NM,32VNM
600000,6600000,32V,PM,32VPM
100000,6500000,32V,JL,32VJL
200000,6500000,32V,KL,32VKL
300000,6500000,32V,LL,32VLL
400000,6500000,32V,ML,32VML
500000,6500000,32V,NL,32VNL
600000,6500000,32V,PL,32VPL
100000,6400000,32V,JK,32VJK
200000,6400000,32V,KK,32VKK
300000,6400000,32V,LK,32VLK
400000,6400000,32V,MK,32VMK
500000,6400000,32V,NK,32VNK
600000,6400000,32V,PK,32VPK
100000,6300000,32V,JJ,32VJJ
200000,6300000,32V,KJ,32VKJ
300000,6300000,32V,LJ,32VLJ
400000,6300000,32V,MJ,32VMJ
500000,6300000,32V,NJ,32VNJ
600000,6300000,32V,PJ,32VPJ
100000,6200000,32V,JH,32VJH
200000,6200000,32V,KH,32VKH
300000,7900000,32W,LE,32WLE
400000,7900000,32W,ME,32WME
500000,7900000,32W,NE,32WNE
600000,7900000,32W,PE,32WPE
300000,7800000,32W,LD,32WLD
400000,7800000,32W,MD,32WMD
500000,7800000,32W,ND,32WND
